73,FF0B,0206,2B06,3806,8006
0C,0D0D,062D,063A,0681,0674
0C,0D0E,062C,0639,067F,0672
0C,0D0F,062A,0637,067F,0673
0C,0D10,062C,063A,0681,0674
0C,0D11,062E,063B,0681,0675
0C,0D12,062C,063A,0680,0674
0C,0D13,062C,0638,067F,0672
0C,0D14,062C,0638,067E,0672
0C,0D15,062D,063A,0681,0675
0C,0D16,062E,063C,0681,0675
0C,0D17,062C,063A,0680,0674
0C,0D18,062B,0638,0680,0673
0C,0D19,062A,0638,0680,0672
0C,0D1A,062D,063B,0681,0674
0C,0D1B,062E,063B,0681,0675
0C,0D1C,062C,063A,0681,0674
0C,0D1D,062B,0637,067F,0672
0C,0D1E,062A,0637,067F,0672
0C,0D1F,062D,063B,0680,0674
0C,0D20,062E,063C,0681,0675
0C,0D21,062D,063A,0680,0674
0C,0D22,062B,0638,067F,0673
0C,0D23,062B,0639,067F,0672
0C,0D24,062D,063A,0680,0674
0C,0D25,062D,063C,0681,0676
0C,0D26,062D,063A,0680,0674
0C,0D27,062B,0638,0680,0673
0C,0D28,062A,0638,0680,0672
0C,0D29,062D,063A,0681,0674
0C,0D2A,062E,063C,0681,0676
0C,0D2B,062D,063A,0681,0674
0C,0D2C,062B,0638,0680,0673
0C,0D2D,062B,0637,067F,0673
0C,0D2E,062D,063A,0681,0674
0C,0D2F,062E,063B,0682,0675
0C,0D30,062C,063A,0680,0674
0C,0D31,062B,0638,0680,0673
0C,0D32,062B,0638,067F,0672
0C,0D33,062D,063B,0680,0674
0C,0D34,062E,063C,0681,0675
0C,0D35,062D,063A,0681,0674
0C,0D36,062C,0639,0680,0673
0C,0D37,062B,0638,0680,0673
0C,0D38,062D,063C,0680,0674
0C,0D39,062D,063B,0681,0675
0C,0D3A,062C,063A,0681,0674
0C,0D3B,062B,0638,0680,0673
0C,0D3C,062B,0638,067F,0672
0C,0D3D,062C,063A,0681,0674
0C,0D3E,062E,063C,0681,0674
0C,0D3F,062D,063A,0680,0674
0C,0D40,062B,0639,0680,0673
0C,0D41,062B,0639,067F,0672
0C,0D42,062D,063B,0680,0674
0C,0D43,062D,063C,0681,0675
0C,0D44,062D,063A,0680,0673
0C,0D45,062B,0639,0680,0673
0C,0D46,062B,0638,067F,0671
0C,0D47,062D,063B,0681,0674
0C,0D48,062E,063C,0681,0676
0C,0D49,062D,063A,0681,0674
0C,0D4A,062B,0638,0680,0672
0C,0D4B,062B,0637,067F,0672
0C,0D4C,062C,063A,0681,0675
0C,0D4D,062E,063C,0681,0675
0C,0D4E,062D,063A,0680,0674
0C,0D4F,062B,0639,0680,0673
0C,0D50,062B,0639,067F,0672
0C,0D51,062C,063A,0681,0675
0C,0D52,062D,063B,0682,0675
0C,0D53,062C,063A,0681,0673
0C,0D54,062B,0638,0680,0673
0C,0D55,062B,0637,067F,0673
0C,0D56,062D,063A,0681,0674
0C,0D57,062E,063B,0681,0675
0C,0D58,062C,063A,0680,0673
0C,0D59,062B,0638,0680,0673
0C,0D5A,062B,0638,067F,0672
0C,0D5B,062C,063B,0681,0674
0C,0D5C,062E,063C,0681,0675
0C,0D5D,062D,063A,0680,0674
0C,0D5E,062C,0638,0680,0673
0C,0D5F,062B,0638,0680,0672
0C,0D60,062D,063B,0681,0674
0C,0D61,062E,063C,0682,0675
0C,0D62,062C,063A,0681,0674
0C,0D63,062B,0638,0680,0673
0C,0D64,062B,0637,067F,0673
0C,0D65,062E,063B,0680,0674
0C,0D66,062E,063C,0681,0675
0C,0D67,062C,063A,0681,0675
0C,0D68,062B,0638,0680,0672
0C,0D69,062A,0638,067F,0672
0C,0D6A,062C,063A,0681,0675
0C,0D6B,062E,063B,0681,0675
